order_date,sum,count,multiorder_ratio,multiorder_ratio_smooth
2021-01-01,0,25,0.0,
2021-01-02,2,16,0.125,
2021-01-03,1,21,0.047619047619047616,
2021-01-04,2,28,0.07142857142857142,0.039965986394557826
2021-01-05,0,12,0.0,0.05017006802721088
2021-01-06,1,28,0.03571428571428571,0.07127396413110698
2021-01-07,0,28,0.0,0.06447124304267161
2021-01-08,1,14,0.07142857142857142,0.05426716141001854
2021-01-09,3,11,0.2727272727272727,0.06047834153424214
2021-01-10,0,8,0.0,0.06558038235056868
2021-01-11,0,9,0.0,0.0745089537791401
2021-01-12,1,23,0.043478260869565216,0.06430487214648704
2021-01-13,2,28,0.07142857142857142,0.04439145223306714
2021-01-14,1,16,0.0625,0.05279481357760495
2021-01-15,0,17,0.0,0.05279481357760495
2021-01-16,2,15,0.13333333333333333,0.05410243044586255
2021-01-17,1,17,0.058823529411764705,0.054102430445862555
2021-01-18,0,18,0.0,0.04517385901729113
2021-01-19,1,19,0.05263157894736842,0.06558202228259725
2021-01-20,2,28,0.07142857142857142,0.0465344032349782
2021-01-21,0,17,0.0,0.04289294665234515
2021-01-22,3,21,0.14285714285714285,0.05082945458885309
2021-01-23,0,17,0.0,0.053514739229024944
2021-01-24,1,30,0.03333333333333333,0.06528867957439385
2021-01-25,1,18,0.05555555555555555,0.07280747656687506
2021-01-26,1,14,0.07142857142857142,0.05239931330156894
2021-01-27,2,13,0.15384615384615385,0.05239931330156894
2021-01-28,1,19,0.05263157894736842,0.04763740853966418
2021-01-29,0,10,0.0,0.05160566250791814
2021-01-30,0,18,0.0,0.04140158087526508
2021-01-31,0,14,0.0,0.019423558897243103
2021-02-01,1,12,0.08333333333333333,0.011904761904761904
2021-02-02,0,13,0.0,0.030952380952380953
2021-02-03,0,20,0.0,0.03095238095238095
2021-02-04,0,23,0.0,0.03095238095238095
2021-02-05,2,15,0.13333333333333333,0.019047619047619042
2021-02-06,0,10,0.0,0.029251700680272105
2021-02-07,0,15,0.0,0.029251700680272108
2021-02-08,0,11,0.0,0.029251700680272108
2021-02-09,1,14,0.07142857142857142,0.010204081632653057
2021-02-10,0,2,0.0,0.010204081632653057
2021-02-11,0,1,0.0,0.010204081632653057
2021-02-12,0,2,0.0,0.0419501133786848
2021-02-13,0,5,0.0,0.03174603174603174
2021-02-14,0,5,0.0,0.03174603174603174
2021-02-15,2,9,0.2222222222222222,0.03174603174603174
2021-02-16,0,6,0.0,0.03174603174603174
