customer_id,multi_order_count,total_order_count,multi_order_ratio,customer_segment
Customer_0,2,25,0.08,Low
Customer_1,3,36,0.08333333333333333,Low
Customer_10,5,46,0.10869565217391304,Medium
Customer_100,2,40,0.05,Low
Customer_1000,6,37,0.16216216216216217,Medium
Customer_1001,4,37,0.10810810810810811,Medium
Customer_1002,1,22,0.045454545454545456,Low
Customer_1003,1,21,0.047619047619047616,Low
Customer_1004,4,41,0.0975609756097561,Low
Customer_1005,10,56,0.17857142857142858,Medium
Customer_1006,5,41,0.12195121951219512,Medium
Customer_1007,1,15,0.06666666666666667,Low
Customer_1008,11,73,0.1506849315068493,Medium
Customer_1009,1,23,0.043478260869565216,Low
Customer_101,5,29,0.1724137931034483,Medium
Customer_1010,2,24,0.08333333333333333,Low
Customer_1011,2,33,0.06060606060606061,Low
Customer_1012,0,23,0.0,Low
Customer_1013,7,38,0.18421052631578946,Medium
Customer_1014,8,45,0.17777777777777778,Medium
Customer_1015,2,38,0.05263157894736842,Low
Customer_1016,19,74,0.25675675675675674,High
Customer_1017,14,55,0.2545454545454545,High
Customer_1018,9,47,0.19148936170212766,Medium
Customer_1019,4,29,0.13793103448275862,Medium
Customer_102,4,37,0.10810810810810811,Medium
Customer_1020,0,15,0.0,Low
Customer_1021,8,49,0.16326530612244897,Medium
Customer_1022,3,39,0.07692307692307693,Low
Customer_1023,5,37,0.13513513513513514,Medium
Customer_1024,3,29,0.10344827586206896,Medium
Customer_1025,10,50,0.2,High
Customer_1026,7,42,0.16666666666666666,Medium
Customer_1027,5,41,0.12195121951219512,Medium
Customer_1028,3,46,0.06521739130434782,Low
Customer_1029,2,32,0.0625,Low
Customer_103,2,30,0.06666666666666667,Low
Customer_1030,1,38,0.02631578947368421,Low
Customer_1031,7,41,0.17073170731707318,Medium
Customer_1032,8,54,0.14814814814814814,Medium
Customer_1033,8,53,0.1509433962264151,Medium
Customer_1034,10,54,0.18518518518518517,Medium
Customer_1035,2,34,0.058823529411764705,Low
Customer_1036,7,50,0.14,Medium
Customer_1037,2,34,0.058823529411764705,Low
Customer_1038,8,43,0.18604651162790697,Medium
Customer_1039,3,31,0.0967741935483871,Low
Customer_104,3,30,0.1,Medium
Customer_1040,3,22,0.13636363636363635,Medium
Customer_1041,0,18,0.0,Low
Customer_1042,10,52,0.19230769230769232,Medium
Customer_1043,2,25,0.08,Low
Customer_1044,7,41,0.17073170731707318,Medium
Customer_1045,6,55,0.10909090909090909,Medium
Customer_1046,2,30,0.06666666666666667,Low
Customer_1047,4,34,0.11764705882352941,Medium
Customer_1048,6,45,0.13333333333333333,Medium
Customer_1049,3,34,0.08823529411764706,Low
Customer_105,3,49,0.061224489795918366,Low
Customer_1050,1,22,0.045454545454545456,Low
Customer_1051,5,35,0.14285714285714285,Medium
Customer_1052,3,36,0.08333333333333333,Low
Customer_1053,0,32,0.0,Low
Customer_1054,4,40,0.1,Medium
Customer_1055,1,27,0.037037037037037035,Low
Customer_1056,12,60,0.2,High
Customer_1057,17,57,0.2982456140350877,High
Customer_1058,1,18,0.05555555555555555,Low
Customer_1059,6,46,0.13043478260869565,Medium
Customer_106,10,63,0.15873015873015872,Medium
Customer_1060,3,46,0.06521739130434782,Low
Customer_1061,5,28,0.17857142857142858,Medium
Customer_1062,1,25,0.04,Low
Customer_1063,6,33,0.18181818181818182,Medium
Customer_1064,4,39,0.10256410256410256,Medium
Customer_1065,2,22,0.09090909090909091,Low
Customer_1066,4,34,0.11764705882352941,Medium
Customer_1067,3,42,0.07142857142857142,Low
Customer_1068,4,30,0.13333333333333333,Medium
Customer_1069,6,43,0.13953488372093023,Medium
Customer_107,4,34,0.11764705882352941,Medium
Customer_1070,6,43,0.13953488372093023,Medium
Customer_1071,10,77,0.12987012987012986,Medium
Customer_1072,0,17,0.0,Low
Customer_1073,3,34,0.08823529411764706,Low
Customer_1074,0,14,0.0,Low
Customer_1075,4,35,0.11428571428571428,Medium
Customer_1076,3,27,0.1111111111111111,Medium
Customer_1077,6,42,0.14285714285714285,Medium
Customer_1078,1,25,0.04,Low
Customer_1079,7,36,0.19444444444444445,Medium
Customer_108,3,26,0.11538461538461539,Medium
Customer_1080,1,30,0.03333333333333333,Low
Customer_1081,16,78,0.20512820512820512,High
Customer_1082,3,25,0.12,Medium
Customer_1083,0,19,0.0,Low
Customer_1084,3,35,0.08571428571428572,Low
Customer_1085,12,50,0.24,High
Customer_1086,13,41,0.3170731707317073,Very High
Customer_1087,4,29,0.13793103448275862,Medium
Customer_1088,0,22,0.0,Low
Customer_1089,5,39,0.1282051282051282,Medium
Customer_109,6,34,0.17647058823529413,Medium
Customer_1090,3,36,0.08333333333333333,Low
Customer_1091,13,58,0.22413793103448276,High
Customer_1092,2,25,0.08,Low
Customer_1093,2,40,0.05,Low
Customer_1094,4,21,0.19047619047619047,Medium
Customer_1095,1,23,0.043478260869565216,Low
Customer_1096,2,27,0.07407407407407407,Low
Customer_1097,9,48,0.1875,Medium
Customer_1098,6,40,0.15,Medium
Customer_1099,12,43,0.27906976744186046,High
Customer_11,3,18,0.16666666666666666,Medium
Customer_110,2,27,0.07407407407407407,Low
Customer_1100,1,22,0.045454545454545456,Low
Customer_1101,10,44,0.22727272727272727,High
Customer_1102,2,24,0.08333333333333333,Low
Customer_1103,2,36,0.05555555555555555,Low
Customer_1104,3,47,0.06382978723404255,Low
Customer_1105,3,38,0.07894736842105263,Low
Customer_1106,1,35,0.02857142857142857,Low
Customer_1107,5,40,0.125,Medium
Customer_1108,3,40,0.075,Low
Customer_1109,2,27,0.07407407407407407,Low
Customer_111,4,33,0.12121212121212122,Medium
Customer_1110,3,30,0.1,Medium
Customer_1111,1,21,0.047619047619047616,Low
Customer_1112,1,23,0.043478260869565216,Low
Customer_1113,13,63,0.20634920634920634,High
Customer_1114,6,40,0.15,Medium
Customer_1115,2,18,0.1111111111111111,Medium
Customer_1116,10,53,0.18867924528301888,Medium
Customer_1117,0,12,0.0,Low
Customer_1118,4,26,0.15384615384615385,Medium
Customer_1119,3,34,0.08823529411764706,Low
Customer_112,5,37,0.13513513513513514,Medium
Customer_1120,4,32,0.125,Medium
Customer_1121,5,31,0.16129032258064516,Medium
Customer_1122,3,31,0.0967741935483871,Low
Customer_1123,5,39,0.1282051282051282,Medium
Customer_1124,6,31,0.1935483870967742,Medium
Customer_1125,2,29,0.06896551724137931,Low
Customer_1126,2,15,0.13333333333333333,Medium
Customer_1127,8,43,0.18604651162790697,Medium
Customer_1128,6,46,0.13043478260869565,Medium
Customer_1129,22,65,0.3384615384615385,Very High
Customer_113,5,46,0.10869565217391304,Medium
Customer_1130,4,48,0.08333333333333333,Low
Customer_1131,11,47,0.23404255319148937,High
Customer_1132,4,46,0.08695652173913043,Low
Customer_1133,2,28,0.07142857142857142,Low
Customer_1134,16,56,0.2857142857142857,High
Customer_1135,5,40,0.125,Medium
Customer_1136,5,29,0.1724137931034483,Medium
Customer_1137,3,22,0.13636363636363635,Medium
Customer_1138,3,35,0.08571428571428572,Low
Customer_1139,6,29,0.20689655172413793,High
Customer_114,3,36,0.08333333333333333,Low
Customer_1140,3,35,0.08571428571428572,Low
Customer_1141,2,25,0.08,Low
Customer_1142,5,33,0.15151515151515152,Medium
Customer_1143,0,16,0.0,Low
Customer_1144,2,20,0.1,Medium
Customer_1145,0,22,0.0,Low
Customer_1146,5,23,0.21739130434782608,High
Customer_1147,6,40,0.15,Medium
Customer_1148,8,44,0.18181818181818182,Medium
Customer_1149,3,26,0.11538461538461539,Medium
Customer_115,6,44,0.13636363636363635,Medium
Customer_1150,8,46,0.17391304347826086,Medium
Customer_1151,4,31,0.12903225806451613,Medium
Customer_1152,2,17,0.11764705882352941,Medium
Customer_1153,2,24,0.08333333333333333,Low
Customer_1154,12,53,0.22641509433962265,High
Customer_1155,6,33,0.18181818181818182,Medium
Customer_1156,5,40,0.125,Medium
Customer_1157,0,8,0.0,Low
Customer_1158,4,36,0.1111111111111111,Medium
Customer_1159,1,23,0.043478260869565216,Low
Customer_116,1,36,0.027777777777777776,Low
Customer_1160,3,44,0.06818181818181818,Low
Customer_1161,1,24,0.041666666666666664,Low
Customer_1162,3,34,0.08823529411764706,Low
Customer_1163,1,28,0.03571428571428571,Low
Customer_1164,4,27,0.14814814814814814,Medium
Customer_1165,0,8,0.0,Low
Customer_1166,8,40,0.2,High
Customer_1167,1,19,0.05263157894736842,Low
Customer_1168,4,20,0.2,High
Customer_1169,5,33,0.15151515151515152,Medium
Customer_117,5,25,0.2,High
Customer_1170,2,29,0.06896551724137931,Low
Customer_1171,2,23,0.08695652173913043,Low
